icd_code,icd_version,diagnosis_title,diagnosis_key
9690,9,Poisoning-antidepressant,9-9690
V1249,9,Personal history of other disorders of nervous system and sense organs,9-V1249
V5302,9,Fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord),9-V5302
01223,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",9-01223
0793,9,Rhinovirus infection in conditions classified elsewhere and of unspecified site,9-0793
07998,9,Unspecified chlamydial infection,9-07998
311,9,"Depressive disorder, not elsewhere classified",9-311
3558,9,"Mononeuritis of lower limb, unspecified",9-3558
37412,9,Mechanical ectropion,9-37412
38011,9,Acute infection of pinna,9-38011
53230,9,"Acute duodenal ulcer without mention of hemorrhage or perforation, without mention of obstruction",9-53230
65260,9,"Multiple gestation with malpresentation of one fetus or more, unspecified as to episode of care or not applicable",9-65260
71183,9,"Arthropathy associated with other infectious and parasitic diseases, forearm",9-71183
71841,9,"Contracture of joint, shoulder region",9-71841
7606,9,Surg op on mother aff nb,9-7606
7673,9,Other injuries to skeleton due to birth trauma,9-7673
79512,9,Papanicolaou smear of vagina with atypical squamous cells cannot exclude high grade squamous intraepithelial lesion (ASC-H),9-79512
92703,9,Crushing injury of upper arm,9-92703
96900,9,"Poisoning by antidepressant, unspecified",9-96900
9709,9,Poisoning by unspecified central nervous system stimulant,9-9709
V195,9,Family history of congenital anomalies,9-V195
1030,9,Primary lesions of pinta,9-1030
1638,9,Malignant neoplasm of other specified sites of pleura,9-1638
25050,9,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",9-25050
3638,9,Other disorders of choroid,9-3638
36969,9,One eye: profound vision impairment; other eye: normal vision,9-36969
37835,9,Accommodative component in esotropia,9-37835
5401,9,Acute appendicitis with peritoneal abscess,9-5401
6232,9,Stricture or atresia of vagina,9-6232
6241,9,Atrophy of vulva,9-6241
6251,9,Vaginismus,9-6251
6279,9,Unspecified menopausal and postmenopausal disorder,9-6279
66584,9,"Other specified obstetrical trauma, postpartum condition or complication",9-66584
67310,9,"Amniotic fluid embolism, unspecified as to episode of care or not applicable",9-67310
71510,9,"Osteoarthrosis, localized, primary, site unspecified",9-71510
75311,9,Congenital single renal cyst,9-75311
76719,9,Other injuries to scalp,9-76719
77014,9,Aspiration of clear amniotic fluid with respiratory symptoms,9-77014
78703,9,Vomiting alone,9-78703
81000,9,"Closed fracture of clavicle, unspecified part",9-81000
82302,9,Closed fracture of upper end of fibula with tibia,9-82302
9178,9,"Other and unspecified superficial injury of foot and toes, without mention of infection",9-9178
9221,9,Contusion of chest wall,9-9221
99669,9,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft",9-99669
99791,9,"Complications affecting other specified body systems, not elsewhere classified, hypertension",9-99791
E8163,9,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger on motorcycle",9-E8163
E9551,9,Suicide and self-inflicted injury by shotgun,9-E9551
01142,9,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",9-01142
04501,9,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type I",9-04501
0820,9,Spotted fevers,9-0820
1271,9,Anisakiasis,9-1271
20046,9,"Mantle cell lymphoma, intrapelvic lymph nodes",9-20046
2719,9,Unspecified disorder of carbohydrate transport and metabolism,9-2719
36559,9,Glaucoma associated with other lens disorders,9-36559
37231,9,Rosacea conjunctivitis,9-37231
37411,9,Senile ectropion,9-37411
48241,9,Methicillin susceptible pneumonia due to Staphylococcus aureus,9-48241
4843,9,Pneumonia in whooping cough,9-4843
5533,9,Diaphragmatic hernia without mention of obstruction or gangrene,9-5533
67641,9,"Failure of lactation, delivered, with or without mention of antepartum condition",9-67641
7237,9,Ossification of posterior longitudinal ligament in cervical region,9-7237
74409,9,Other anomalies of ear causing impairment of hearing,9-74409
7529,9,Unspecified anomaly of genital organs,9-7529
7581,9,Patau's syndrome,9-7581
7628,9,Other specified abnormalities of chorion and amnion affecting fetus or newborn,9-7628
76518,9,"Other preterm infants, 2,000-2,499 grams",9-76518
78932,9,"Abdominal or pelvic swelling, mass, or lump, left upper quadrant",9-78932
79922,9,Irritability,9-79922
9401,9,Other burns of eyelids and periocular area,9-9401
99812,9,Hematoma complicating a procedure,9-99812
V1351,9,Personal history of pathologic fracture,9-V1351
1420,9,Malignant neoplasm of parotid gland,9-1420
1880,9,Malignant neoplasm of trigone of urinary bladder,9-1880
24921,9,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled",9-24921
35781,9,Chronic inflammatory demyelinating polyneuritis,9-35781
37444,9,Sensory disorders of eyelid,9-37444
37630,9,"Exophthalmos, unspecified",9-37630
37961,9,"Inflammation (infection) of postprocedural bleb, stage 1",9-37961
44773,9,Thoracoabdominal aortic ectasia,9-44773
52123,9,"Abrasion, extending into pulp",9-52123
65203,9,"Unstable lie, antepartum condition or complication",9-65203
71698,9,"Arthropathy, unspecified, other specified sites",9-71698
72673,9,Calcaneal spur,9-72673
76870,9,"Hypoxic-ischemic encephalopathy, unspecified",9-76870
E8228,9,Other motor vehicle nontraffic accident involving collision with moving object injuring other specified person,9-E8228
V0739,9,Need for other prophylactic chemotherapy,9-V0739
V1859,9,Family history of other digestive disorders,9-V1859
01322,9,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)",9-01322
07033,9,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta,9-07033
3099,9,Unspecified adjustment reaction,9-3099
40401,9,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",9-40401
44032,9,Atherosclerosis of nonautologous biological bypass graft of the extremities,9-44032
64234,9,"Transient hypertension of pregnancy, postpartum condition or complication",9-64234
65600,9,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable",9-65600
66912,9,"Shock during or following labor and delivery, delivered, with mention of postpartum complication",9-66912
72142,9,"Spondylosis with myelopathy, lumbar region",9-72142
72190,9,"Spondylosis of unspecified site, without mention of myelopathy",9-72190
74402,9,Other anomalies of external ear with impairment of hearing,9-74402
76490,9,"Fetal growth retardation, unspecified, unspecified [weight]",9-76490
76505,9,"Extreme immaturity, 1,250-1,499 grams",9-76505
82001,9,Closed fracture of epiphysis (separation) (upper) of neck of femur,9-82001
E8440,9,Other specified air transport accidents injuring occupant of spacecraft,9-E8440
E8658,9,Accidental poisoning from other specified foods,9-E8658
E9882,9,"Injury by scald, undetermined whether accidentally or purposely inflicted",9-E9882
V5401,9,Encounter for removal of internal fixation device,9-V5401
V5832,9,Encounter for removal of sutures,9-V5832
0081,9,Intestinal infection due to arizona group of paracolon bacilli,9-0081
01781,9,"Tuberculosis of esophagus, bacteriological or histological examination not done",9-01781
07421,9,Coxsackie pericarditis,9-07421
1141,9,Primary extrapulmonary coccidioidomycosis,9-1141
29543,9,"Schizophreniform disorder, subchronic with acute exacerbation",9-29543
3518,9,Other facial nerve disorders,9-3518
3544,9,Causalgia of upper limb,9-3544
36019,9,Other endophthalmitis,9-36019
57411,9,"Calculus of gallbladder with other cholecystitis, with obstruction",9-57411
80165,9,"Open fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",9-80165
80349,9,"Other closed skull fracture with intracranial injury of other and unspecified nature, with concussion, unspecified",9-80349
8363,9,"Dislocation of patella, closed",9-8363
86390,9,"Injury to gastrointestinal tract, unspecified site, with open wound into cavity",9-86390
96905,9,Poisoning by tricyclic antidepressants,9-96905
E8497,9,Accidents occurring in residential institution,9-E8497
V024,9,Carrier or suspected carrier of diphtheria,9-V024
V1522,9,Personal history of undergoing in utero procedure while a fetus,9-V1522
V5409,9,Other aftercare involving internal fixation device,9-V5409
0208,9,Other specified types of plague,9-0208
0579,9,"Viral exanthem, unspecified",9-0579
36272,9,Retinal dystrophy in other systemic disorders and syndromes,9-36272
53231,9,"Acute duodenal ulcer without mention of hemorrhage or perforation, with obstruction",9-53231
5794,9,Pancreatic steatorrhea,9-5794
6022,9,Atrophy of prostate,9-6022
6190,9,"Urinary-genital tract fistula, female",9-6190
64823,9,"Anemia of mother, antepartum condition or complication",9-64823
7401,9,Craniorachischisis,9-7401
8431,9,Ischiocapsular (ligament) sprain,9-8431
9912,9,Frostbite of foot,9-9912
99802,9,"Postoperative shock, septic",9-99802
E8358,9,Other and unspecified fall in water transport injuring other specified person,9-E8358
E8731,9,Incorrect dilution of fluid during infusion,9-E8731
V1204,9,Personal history of Methicillin resistant Staphylococcus aureus,9-V1204
01752,9,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)",9-01752
0302,9,Indeterminate leprosy [group I],9-0302
25950,9,"Androgen insensitivity, unspecified",9-25950
261,9,Nutritional marasmus,9-261
30461,9,"Other specified drug dependence, continuous",9-30461
36040,9,"Degenerated globe or eye, unspecified",9-36040
44321,9,Dissection of carotid artery,9-44321
4592,9,Compression of vein,9-4592
4956,9,Maple bark-strippers' lung,9-4956
64254,9,"Severe pre-eclampsia, postpartum condition or complication",9-64254
65470,9,"Congenital or acquired abnormality of vagina, unspecified as to episode of care or not applicable",9-65470
78603,9,Apnea,9-78603
80039,9,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified",9-80039
80710,9,"Open fracture of rib(s), unspecified",9-80710
83803,9,Closed dislocation of tarsometatarsal (joint),9-83803
85240,9,"Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",9-85240
85300,9,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",9-85300
86329,9,"Other injury to small intestine, without mention of open wound into cavity",9-86329
E8251,9,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle,9-E8251
0088,9,"Intestinal infection due to other organism, not elsewhere classified",9-0088
01551,9,"Tuberculosis of limb bones, bacteriological or histological examination not done",9-01551
1440,9,Malignant neoplasm of anterior portion of floor of mouth,9-1440
20156,9,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes",9-20156
2450,9,Acute thyroiditis,9-2450
2468,9,Other specified disorders of thyroid,9-2468
28951,9,Chronic congestive splenomegaly,9-28951
32753,9,Sleep related bruxism,9-32753
33942,9,New daily persistent headache,9-33942
36353,9,"Central dystrophy of choroid, partial",9-36353
37830,9,"Heterotropia, unspecified",9-37830
38424,9,Multiple perforations of tympanic membrane,9-38424
5569,9,"Ulcerative colitis, unspecified",9-5569
60001,9,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),9-60001
6071,9,Balanoposthitis,9-6071
73743,9,Scoliosis associated with other conditions,9-73743
75470,9,"Talipes, unspecified",9-75470
7578,9,Other specified anomalies of the integument,9-7578
76076,9,Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk,9-76076
7752,9,Neonatal myasthenia gravis,9-7752
83113,9,Open inferior dislocation of humerus,9-83113
99800,9,"Postoperative shock, unspecified",9-99800
E9970,9,Injury due to war operations by lasers,9-E9970
01503,9,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy",9-01503
29635,9,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission",9-29635
3300,9,Leukodystrophy,9-3300
37103,9,Central opacity of cornea,9-37103
37124,9,Corneal edema due to wearing of contact lenses,9-37124
37432,9,Myogenic ptosis,9-37432
43885,9,"Other late effects of cerebrovascular disease, vertigo",9-43885
5277,9,Disturbance of salivary secretion,9-5277
64683,9,"Other specified complications of pregnancy, antepartum condition or complication",9-64683
72704,9,Radial styloid tenosynovitis,9-72704
7611,9,Premature rupture of membranes affecting fetus or newborn,9-7611
86510,9,"Injury to spleen with open wound into cavity, unspecified injury",9-86510
8973,9,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, complicated",9-8973
9047,9,Injury to other specified blood vessels of lower extremity,9-9047
94411,9,Erythema [first degree] of single digit (finger (nail)) other than thumb,9-94411
E9586,9,Suicide and self-inflicted injury by crashing of aircraft,9-E9586
V074,9,Hormone replacement therapy (postmenopausal),9-V074
20165,9,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb",9-20165
20891,9,"Unspecified leukemia, in remission",9-20891
34403,9,"Quadriplegia, C5-C7, complete",9-34403
34710,9,"Narcolepsy in conditions classified elsewhere, without cataplexy",9-34710
3668,9,Other cataract,9-3668
37149,9,Other corneal degenerations,9-37149
37703,9,Papilledema associated with retinal disorder,9-37703
38632,9,Circumscribed labyrinthitis,9-38632
4161,9,Kyphoscoliotic heart disease,9-4161
65484,9,"Congenital or acquired abnormality of vulva, postpartum condition or complication",9-65484
69281,9,Dermatitis due to cosmetics,9-69281
71176,9,"Arthropathy associated with helminthiasis, lower leg",9-71176
7735,9,Late anemia of fetus or newborn due to isoimmunization,9-7735
7925,9,Cloudy (hemodialysis) (peritoneal) dialysis effluent,9-7925
80029,9,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified",9-80029
80719,9,"Open fracture of multiple ribs, unspecified",9-80719
9071,9,Late effect of injury to cranial nerve,9-9071
9132,9,"Blister of elbow, forearm, and wrist, without mention of infection",9-9132
9533,9,Injury to sacral nerve root,9-9533
E8832,9,Accidental fall into storm drain or manhole,9-E8832
01660,9,"Tuberculous oophoritis and salpingitis, unspecified",9-01660
0204,9,Secondary pneumonic plague,9-0204
0910,9,Genital syphilis (primary),9-0910
11503,9,"Infection by Histoplasma capsulatum, pericarditis",9-11503
1761,9,"Kaposi's sarcoma, soft tissue",9-1761
1922,9,Malignant neoplasm of spinal cord,9-1922
29621,9,"Major depressive affective disorder, single episode, mild",9-29621
37132,9,Folds in descemet's membrane,9-37132
37742,9,Hemorrhage in optic nerve sheaths,9-37742
37914,9,"Anterior staphyloma, localized",9-37914
52572,9,Post-osseointegration biological failure of dental implant,9-52572
57440,9,"Calculus of bile duct with other cholecystitis, without mention of obstruction",9-57440
5889,9,Unspecified disorder resulting from impaired renal function,9-5889
64753,9,"Rubella in the mother, antepartum condition or complication",9-64753
66421,9,"Third-degree perineal laceration, delivered, with or without mention of antepartum condition",9-66421
67634,9,"Other and unspecified disorder of breast associated with childbirth, postpartum condition or complication",9-67634
7084,9,Vibratory urticaria,9-7084
7732,9,Hemolytic disease of fetus or newborn due to other and unspecified isoimmunization,9-7732
85194,9,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",9-85194
90001,9,Injury to common carotid artery,9-90001
E9808,9,"Poisoning by arsenic and its compounds, undetermined whether accidentally or purposely inflicted",9-E9808
01881,9,"Other specified miliary tuberculosis, bacteriological or histological examination not done",9-01881
0220,9,Cutaneous anthrax,9-0220
1648,9,Malignant neoplasm of other parts of mediastinum,9-1648
27785,9,Disorders of fatty acid oxidation,9-27785
3003,9,Obsessive-compulsive disorders,9-3003
3313,9,Communicating hydrocephalus,9-3313
37842,9,Exophoria,9-37842
6246,9,Polyp of labia and vulva,9-6246
63310,9,Tubal pregnancy without intrauterine pregnancy,9-63310
67482,9,"Other complications of puerperium, delivered, with mention of postpartum complication",9-67482
73393,9,Stress fracture of tibia or fibula,9-73393
75989,9,Other specified congenital anomalies,9-75989
78704,9,Bilious emesis,9-78704
80701,9,Closed fracture of one rib,9-80701
81380,9,Closed fracture of unspecified part of forearm,9-81380
E8374,9,"Explosion, fire, or burning in watercraft injuring water skier",9-E8374
E8844,9,Accidental fall from bed,9-E8844
E9931,9,Injury due to war operations by guided missile,9-E9931
V7647,9,Special screening for malignant neoplasms of vagina,9-V7647
3202,9,Streptococcal meningitis,9-3202
40591,9,Unspecified renovascular hypertension,9-40591
4421,9,Aneurysm of renal artery,9-4421
5791,9,Tropical sprue,9-5791
65670,9,"Other placental conditions, affecting management of mother, unspecified as to episode of care or not applicable",9-65670
71652,9,"Unspecified polyarthropathy or polyarthritis, upper arm",9-71652
75321,9,Congenital obstruction of ureteropelvic junction,9-75321
8710,9,Ocular laceration without prolapse of intraocular tissue,9-8710
V1505,9,Allergy to other foods,9-V1505
V829,9,Screening for unspecified condition,9-V829
V9119,9,"Triplet gestation, unable to determine number of placenta and number of amniotic sacs",9-V9119
0231,9,Brucella abortus,9-0231
1025,9,Gangosa,9-1025
1279,9,"Intestinal helminthiasis, unspecified",9-1279
17380,9,Unspecified malignant neoplasm of other specified sites of skin,9-17380
20241,9,"Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck",9-20241
31089,9,Other specified nonpsychotic mental disorders following organic brain damage,9-31089
32371,9,Toxic encephalitis and encephalomyelitis,9-32371
4272,9,"Paroxysmal tachycardia, unspecified",9-4272
47875,9,Laryngeal spasm,9-47875
48242,9,Methicillin resistant pneumonia due to Staphylococcus aureus,9-48242
67913,9,"Fetal complications from in utero procedure, antepartum condition or complication",9-67913
7051,9,Prickly heat,9-7051
7955,9,Nonspecific reaction to tuberculin skin test without active tuberculosis,9-7955
99696,9,"Complication of reattached lower extremity, other and unspecified",9-99696
9974,9,"Digestive system complications, not elsewhere classified",9-9974
1965,9,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,9-1965
28982,9,Secondary hypercoagulable state,9-28982
30562,9,"Cocaine abuse, episodic",9-30562
36011,9,Sympathetic uveitis,9-36011
36284,9,Retinal ischemia,9-36284
37040,9,"Keratoconjunctivitis, unspecified",9-37040
37905,9,Scleritis with corneal involvement,9-37905
38051,9,Acquired stenosis of external ear canal secondary to trauma,9-38051
38320,9,"Petrositis, unspecified",9-38320
38654,9,"Hypoactive labyrinth, bilateral",9-38654
66411,9,"Second-degree perineal laceration, delivered, with or without mention of antepartum condition",9-66411
6861,9,Pyogenic granuloma of skin and subcutaneous tissue,9-6861
71632,9,"Climacteric arthritis, upper arm",9-71632
71838,9,"Recurrent dislocation of joint, other specified sites",9-71838
73342,9,Aseptic necrosis of head and neck of femur,9-73342
74251,9,Diastematomyelia,9-74251
7707,9,Chronic respiratory disease arising in the perinatal period,9-7707
7910,9,Proteinuria,9-7910
9626,9,Poisoning by parathyroid and parathyroid derivatives,9-9626
9642,9,Poisoning by anticoagulants,9-9642
9874,9,Toxic effect of freon,9-9874
E8011,9,Railway accident involving collision with other object and injuring passenger on railway,9-E8011
E8652,9,Accidental poisoning from other fish,9-E8652
E896,9,Accident caused by controlled fire in other and unspecified building or structure,9-E896
V1300,9,Personal history of unspecified urinary disorder,9-V1300
V1504,9,Allergy to seafood,9-V1504
V1509,9,"Other allergy, other than to medicinal agents",9-V1509
V4984,9,Bed confinement status,9-V4984
01194,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9-01194
20028,9,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites",9-20028
36903,9,Better eye: near-total vision impairment; lesser eye: total vision impairment,9-36903
4431,9,Thromboangiitis obliterans [Buerger's disease],9-4431
66301,9,"Prolapse of cord complicating labor and delivery, delivered, with or without mention of antepartum condition",9-66301
66331,9,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition",9-66331
71618,9,"Traumatic arthropathy, other specified sites",9-71618
7353,9,Hallux malleus,9-7353
80484,9,"Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",9-80484
90182,9,Injury to internal mammary artery or vein,9-90182
92421,9,Contusion of ankle,9-92421
9708,9,Poisoning by other specified central nervous system stimulants,9-9708
V147,9,Personal history of allergy to serum or vaccine,9-V147
V9101,9,"Twin gestation, monochorionic/monoamniotic (one placenta, one amniotic sac)",9-V9101
11500,9,"Infection by Histoplasma capsulatum, without mention of manifestation",9-11500
20147,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen",9-20147
25952,9,Partial androgen insensitivity,9-25952
30014,9,Dissociative identity disorder,9-30014
30412,9,"Sedative, hypnotic or anxiolytic dependence, episodic",9-30412
30441,9,"Amphetamine and other psychostimulant dependence, continuous",9-30441
37456,9,Other degenerative disorders of skin affecting eyelid,9-37456
38810,9,"Noise effects on inner ear, unspecified",9-38810
42299,9,Other acute myocarditis,9-42299
71665,9,"Unspecified monoarthritis, pelvic region and thigh",9-71665
7325,9,Juvenile osteochondrosis of foot,9-7325
76078,9,Antimetabolic agents affecting fetus or newborn via placenta or breast milk,9-76078
7633,9,Delivery by vacuum extractor affecting fetus or newborn,9-7633
7676,9,Injury to brachial plexus due to birth trauma,9-7676
7773,9,Hematemesis and melena of newborn due to swallowed maternal blood,9-7773
94155,9,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of nose (septum)",9-94155
9751,9,Poisoning by smooth muscle relaxants,9-9751
9877,9,Toxic effect of hydrocyanic acid gas,9-9877
E8341,9,"Other fall from one level to another in water transport injuring occupant of small boat, powered",9-E8341
V255,9,Insertion of implantable subdermal contraceptive,9-V255
01163,9,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",9-01163
1256,9,Other specified filariasis,9-1256
29611,9,"Manic affective disorder, recurrent episode, mild",9-29611
3131,9,Misery and unhappiness disorder specific to childhood and adolescence,9-3131
33902,9,Chronic cluster headache,9-33902
37906,9,Brawny scleritis,9-37906
47824,9,Retropharyngeal abscess,9-47824
5755,9,Fistula of gallbladder,9-5755
62921,9,Female genital mutilation Type I status,9-62921
64241,9,"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition",9-64241
73673,9,"Cavus deformity of foot, acquired",9-73673
81345,9,Torus fracture of radius (alone),9-81345
82111,9,Open fracture of shaft of femur,9-82111
85111,9,"Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness",9-85111
9068,9,Late effect of burns of other specified sites,9-9068
07422,9,Coxsackie endocarditis,9-07422
0987,9,Gonococcal infection of anus and rectum,9-0987
2233,9,Benign neoplasm of bladder,9-2233
2348,9,Carcinoma in situ of other specified sites,9-2348
27669,9,Other fluid overload,9-27669
3319,9,"Cerebral degeneration, unspecified",9-3319
5641,9,Irritable bowel syndrome,9-5641
59011,9,Acute pyelonephritis with lesion of renal medullary necrosis,9-59011
64750,9,"Rubella in the mother, unspecified as to episode of care or not applicable",9-64750
66812,9,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication",9-66812
67420,9,"Disruption of perineal wound, unspecified as to episode of care or not applicable",9-67420
71655,9,"Unspecified polyarthropathy or polyarthritis, pelvic region and thigh",9-71655
71658,9,"Unspecified polyarthropathy or polyarthritis, other specified sites",9-71658
7935,9,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs,9-7935
81311,9,Open fracture of olecranon process of ulna,9-81311
94132,9,"Full-thickness skin loss [third degree, not otherwise specified] of eye (with other parts of face, head, and neck)",9-94132
E8105,9,Motor vehicle traffic accident involving collision with train injuring rider of animal; occupant of animal-drawn vehicle,9-E8105
1123,9,Candidiasis of skin and nails,9-1123
20080,9,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites",9-20080
2711,9,Galactosemia,9-2711
30470,9,"Combinations of opioid type drug with any other drug dependence, unspecified",9-30470
37182,9,Corneal disorder due to contact lens,9-37182
38811,9,Acoustic trauma (explosive) to ear,9-38811
44620,9,"Hypersensitivity angiitis, unspecified",9-44620
4590,9,"Hemorrhage, unspecified",9-4590
47871,9,Cellulitis and perichondritis of larynx,9-47871
53510,9,"Atrophic gastritis, without mention of hemorrhage",9-53510
58881,9,Secondary hyperparathyroidism (of renal origin),9-58881
65910,9,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable",9-65910
71897,9,"Unspecified derangement of joint, ankle and foot",9-71897
7201,9,Spinal enthesopathy,9-7201
85103,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",9-85103
92411,9,Contusion of knee,9-92411
E8061,9,Other specified railway accident injuring passenger on railway,9-E8061
V423,9,Skin replaced by transplant,9-V423
V4459,9,Other cystostomy,9-V4459
01353,9,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy",9-01353
01895,9,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9-01895
20974,9,Secondary neuroendocrine tumor of peritoneum,9-20974
27909,9,Other deficiency of humoral immunity,9-27909
30189,9,Other personality disorders,9-30189
3070,9,Adult onset fluency disorder,9-3070
3077,9,Encopresis,9-3077
36283,9,Retinal edema,9-36283
38871,9,Otogenic pain,9-38871
52330,9,"Aggressive periodontitis, unspecified",9-52330
5263,9,Central giant cell (reparative) granuloma,9-5263
65161,9,"Other multiple pregnancy with fetal loss and retention of one or more fetus(es), delivered, with or without mention of antepartum condition",9-65161
73079,9,"Osteopathy resulting from poliomyelitis, multiple sites",9-73079
7711,9,Congenital cytomegalovirus infection,9-7711
78057,9,Unspecified sleep apnea,9-78057
78340,9,"Lack of normal physiological development, unspecified",9-78340
