diagnosis_key,icd_code,icd_version,diagnosis_title
9-25050,25050,9,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
9-3638,3638,9,Other disorders of choroid
9-36969,36969,9,One eye: profound vision impairment; other eye: normal vision
9-37835,37835,9,Accommodative component in esotropia
9-5401,5401,9,Acute appendicitis with peritoneal abscess
9-6232,6232,9,Stricture or atresia of vagina
9-6241,6241,9,Atrophy of vulva
9-6251,6251,9,Vaginismus
9-6279,6279,9,Unspecified menopausal and postmenopausal disorder
9-66584,66584,9,"Other specified obstetrical trauma, postpartum condition or complication"
9-67310,67310,9,"Amniotic fluid embolism, unspecified as to episode of care or not applicable"
9-71510,71510,9,"Osteoarthrosis, localized, primary, site unspecified"
9-75311,75311,9,Congenital single renal cyst
9-76719,76719,9,Other injuries to scalp
9-77014,77014,9,Aspiration of clear amniotic fluid with respiratory symptoms
9-78703,78703,9,Vomiting alone
9-81000,81000,9,"Closed fracture of clavicle, unspecified part"
9-82302,82302,9,Closed fracture of upper end of fibula with tibia
9-9178,9178,9,"Other and unspecified superficial injury of foot and toes, without mention of infection"
9-9221,9221,9,Contusion of chest wall
9-99669,99669,9,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft"
9-99791,99791,9,"Complications affecting other specified body systems, not elsewhere classified, hypertension"
9-E8163,E8163,9,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring passenger on motorcycle"
9-E9551,E9551,9,Suicide and self-inflicted injury by shotgun
9-01142,01142,9,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
9-04501,04501,9,"Acute paralytic poliomyelitis specified as bulbar, poliovirus type I"
9-0820,0820,9,Spotted fevers
9-1271,1271,9,Anisakiasis
9-20046,20046,9,"Mantle cell lymphoma, intrapelvic lymph nodes"
9-2719,2719,9,Unspecified disorder of carbohydrate transport and metabolism
9-36559,36559,9,Glaucoma associated with other lens disorders
9-37231,37231,9,Rosacea conjunctivitis
9-37411,37411,9,Senile ectropion
9-48241,48241,9,Methicillin susceptible pneumonia due to Staphylococcus aureus
9-4843,4843,9,Pneumonia in whooping cough
9-5533,5533,9,Diaphragmatic hernia without mention of obstruction or gangrene
9-67641,67641,9,"Failure of lactation, delivered, with or without mention of antepartum condition"
9-7237,7237,9,Ossification of posterior longitudinal ligament in cervical region
9-74409,74409,9,Other anomalies of ear causing impairment of hearing
9-7529,7529,9,Unspecified anomaly of genital organs
9-7581,7581,9,Patau's syndrome
9-7628,7628,9,Other specified abnormalities of chorion and amnion affecting fetus or newborn
9-76518,76518,9,"Other preterm infants, 2,000-2,499 grams"
9-78932,78932,9,"Abdominal or pelvic swelling, mass, or lump, left upper quadrant"
9-79922,79922,9,Irritability
9-9401,9401,9,Other burns of eyelids and periocular area
9-99812,99812,9,Hematoma complicating a procedure
9-V1351,V1351,9,Personal history of pathologic fracture
9-1420,1420,9,Malignant neoplasm of parotid gland
9-1880,1880,9,Malignant neoplasm of trigone of urinary bladder
9-24921,24921,9,"Secondary diabetes mellitus with hyperosmolarity, uncontrolled"
9-35781,35781,9,Chronic inflammatory demyelinating polyneuritis
9-37444,37444,9,Sensory disorders of eyelid
9-37630,37630,9,"Exophthalmos, unspecified"
9-37961,37961,9,"Inflammation (infection) of postprocedural bleb, stage 1"
9-44773,44773,9,Thoracoabdominal aortic ectasia
9-52123,52123,9,"Abrasion, extending into pulp"
9-65203,65203,9,"Unstable lie, antepartum condition or complication"
9-71698,71698,9,"Arthropathy, unspecified, other specified sites"
9-72673,72673,9,Calcaneal spur
9-76870,76870,9,"Hypoxic-ischemic encephalopathy, unspecified"
9-E8228,E8228,9,Other motor vehicle nontraffic accident involving collision with moving object injuring other specified person
9-V0739,V0739,9,Need for other prophylactic chemotherapy
9-V1859,V1859,9,Family history of other digestive disorders
9-01322,01322,9,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
9-07033,07033,9,Chronic viral hepatitis B without mention of hepatic coma with hepatitis delta
9-3099,3099,9,Unspecified adjustment reaction
9-40401,40401,9,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
9-44032,44032,9,Atherosclerosis of nonautologous biological bypass graft of the extremities
9-64234,64234,9,"Transient hypertension of pregnancy, postpartum condition or complication"
9-65600,65600,9,"Fetal-maternal hemorrhage, unspecified as to episode of care or not applicable"
9-66912,66912,9,"Shock during or following labor and delivery, delivered, with mention of postpartum complication"
9-72142,72142,9,"Spondylosis with myelopathy, lumbar region"
9-72190,72190,9,"Spondylosis of unspecified site, without mention of myelopathy"
9-74402,74402,9,Other anomalies of external ear with impairment of hearing
9-76490,76490,9,"Fetal growth retardation, unspecified, unspecified [weight]"
9-76505,76505,9,"Extreme immaturity, 1,250-1,499 grams"
9-82001,82001,9,Closed fracture of epiphysis (separation) (upper) of neck of femur
9-E8440,E8440,9,Other specified air transport accidents injuring occupant of spacecraft
9-E8658,E8658,9,Accidental poisoning from other specified foods
9-E9882,E9882,9,"Injury by scald, undetermined whether accidentally or purposely inflicted"
9-V5401,V5401,9,Encounter for removal of internal fixation device
9-V5832,V5832,9,Encounter for removal of sutures
9-0081,0081,9,Intestinal infection due to arizona group of paracolon bacilli
9-01781,01781,9,"Tuberculosis of esophagus, bacteriological or histological examination not done"
9-07421,07421,9,Coxsackie pericarditis
9-1141,1141,9,Primary extrapulmonary coccidioidomycosis
9-29543,29543,9,"Schizophreniform disorder, subchronic with acute exacerbation"
9-3518,3518,9,Other facial nerve disorders
9-3544,3544,9,Causalgia of upper limb
9-36019,36019,9,Other endophthalmitis
9-57411,57411,9,"Calculus of gallbladder with other cholecystitis, with obstruction"
9-80165,80165,9,"Open fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
9-80349,80349,9,"Other closed skull fracture with intracranial injury of other and unspecified nature, with concussion, unspecified"
9-8363,8363,9,"Dislocation of patella, closed"
9-86390,86390,9,"Injury to gastrointestinal tract, unspecified site, with open wound into cavity"
9-96905,96905,9,Poisoning by tricyclic antidepressants
9-E8497,E8497,9,Accidents occurring in residential institution
9-V024,V024,9,Carrier or suspected carrier of diphtheria
9-V1522,V1522,9,Personal history of undergoing in utero procedure while a fetus
9-V5409,V5409,9,Other aftercare involving internal fixation device
9-0208,0208,9,Other specified types of plague
9-0579,0579,9,"Viral exanthem, unspecified"
9-36272,36272,9,Retinal dystrophy in other systemic disorders and syndromes
9-53231,53231,9,"Acute duodenal ulcer without mention of hemorrhage or perforation, with obstruction"
9-5794,5794,9,Pancreatic steatorrhea
9-6022,6022,9,Atrophy of prostate
9-6190,6190,9,"Urinary-genital tract fistula, female"
9-64823,64823,9,"Anemia of mother, antepartum condition or complication"
9-7401,7401,9,Craniorachischisis
9-8431,8431,9,Ischiocapsular (ligament) sprain
9-9912,9912,9,Frostbite of foot
9-99802,99802,9,"Postoperative shock, septic"
9-E8358,E8358,9,Other and unspecified fall in water transport injuring other specified person
9-E8731,E8731,9,Incorrect dilution of fluid during infusion
9-V1204,V1204,9,Personal history of Methicillin resistant Staphylococcus aureus
9-01752,01752,9,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)"
9-0302,0302,9,Indeterminate leprosy [group I]
9-25950,25950,9,"Androgen insensitivity, unspecified"
9-261,261,9,Nutritional marasmus
9-30461,30461,9,"Other specified drug dependence, continuous"
9-36040,36040,9,"Degenerated globe or eye, unspecified"
9-44321,44321,9,Dissection of carotid artery
9-4592,4592,9,Compression of vein
9-4956,4956,9,Maple bark-strippers' lung
9-64254,64254,9,"Severe pre-eclampsia, postpartum condition or complication"
9-65470,65470,9,"Congenital or acquired abnormality of vagina, unspecified as to episode of care or not applicable"
9-78603,78603,9,Apnea
9-80039,80039,9,"Closed fracture of vault of skull with other and unspecified intracranial hemorrhage, with concussion, unspecified"
9-80710,80710,9,"Open fracture of rib(s), unspecified"
9-83803,83803,9,Closed dislocation of tarsometatarsal (joint)
9-85240,85240,9,"Extradural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
9-85300,85300,9,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
9-86329,86329,9,"Other injury to small intestine, without mention of open wound into cavity"
9-E8251,E8251,9,Other motor vehicle nontraffic accident of other and unspecified nature injuring passenger in motor vehicle other than motorcycle
9-0088,0088,9,"Intestinal infection due to other organism, not elsewhere classified"
9-01551,01551,9,"Tuberculosis of limb bones, bacteriological or histological examination not done"
9-1440,1440,9,Malignant neoplasm of anterior portion of floor of mouth
9-20156,20156,9,"Hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes"
9-2450,2450,9,Acute thyroiditis
9-2468,2468,9,Other specified disorders of thyroid
9-28951,28951,9,Chronic congestive splenomegaly
9-32753,32753,9,Sleep related bruxism
9-33942,33942,9,New daily persistent headache
9-36353,36353,9,"Central dystrophy of choroid, partial"
9-37830,37830,9,"Heterotropia, unspecified"
9-38424,38424,9,Multiple perforations of tympanic membrane
9-5569,5569,9,"Ulcerative colitis, unspecified"
9-60001,60001,9,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
9-6071,6071,9,Balanoposthitis
9-73743,73743,9,Scoliosis associated with other conditions
9-75470,75470,9,"Talipes, unspecified"
9-7578,7578,9,Other specified anomalies of the integument
9-76076,76076,9,Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk
9-7752,7752,9,Neonatal myasthenia gravis
9-83113,83113,9,Open inferior dislocation of humerus
9-99800,99800,9,"Postoperative shock, unspecified"
9-E9970,E9970,9,Injury due to war operations by lasers
9-01503,01503,9,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy"
9-29635,29635,9,"Major depressive affective disorder, recurrent episode, in partial or unspecified remission"
9-3300,3300,9,Leukodystrophy
9-37103,37103,9,Central opacity of cornea
9-37124,37124,9,Corneal edema due to wearing of contact lenses
9-37432,37432,9,Myogenic ptosis
9-43885,43885,9,"Other late effects of cerebrovascular disease, vertigo"
9-5277,5277,9,Disturbance of salivary secretion
9-64683,64683,9,"Other specified complications of pregnancy, antepartum condition or complication"
9-72704,72704,9,Radial styloid tenosynovitis
9-7611,7611,9,Premature rupture of membranes affecting fetus or newborn
9-86510,86510,9,"Injury to spleen with open wound into cavity, unspecified injury"
9-8973,8973,9,"Traumatic amputation of leg(s) (complete) (partial), unilateral, at or above knee, complicated"
9-9047,9047,9,Injury to other specified blood vessels of lower extremity
9-94411,94411,9,Erythema [first degree] of single digit (finger (nail)) other than thumb
9-E9586,E9586,9,Suicide and self-inflicted injury by crashing of aircraft
9-V074,V074,9,Hormone replacement therapy (postmenopausal)
9-20165,20165,9,"Hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb"
9-20891,20891,9,"Unspecified leukemia, in remission"
9-34403,34403,9,"Quadriplegia, C5-C7, complete"
9-34710,34710,9,"Narcolepsy in conditions classified elsewhere, without cataplexy"
9-3668,3668,9,Other cataract
9-37149,37149,9,Other corneal degenerations
9-37703,37703,9,Papilledema associated with retinal disorder
9-38632,38632,9,Circumscribed labyrinthitis
9-4161,4161,9,Kyphoscoliotic heart disease
9-65484,65484,9,"Congenital or acquired abnormality of vulva, postpartum condition or complication"
9-69281,69281,9,Dermatitis due to cosmetics
9-71176,71176,9,"Arthropathy associated with helminthiasis, lower leg"
9-7735,7735,9,Late anemia of fetus or newborn due to isoimmunization
9-7925,7925,9,Cloudy (hemodialysis) (peritoneal) dialysis effluent
9-80029,80029,9,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified"
9-80719,80719,9,"Open fracture of multiple ribs, unspecified"
9-9071,9071,9,Late effect of injury to cranial nerve
9-9132,9132,9,"Blister of elbow, forearm, and wrist, without mention of infection"
9-9533,9533,9,Injury to sacral nerve root
9-E8832,E8832,9,Accidental fall into storm drain or manhole
9-01660,01660,9,"Tuberculous oophoritis and salpingitis, unspecified"
9-0204,0204,9,Secondary pneumonic plague
9-0910,0910,9,Genital syphilis (primary)
9-11503,11503,9,"Infection by Histoplasma capsulatum, pericarditis"
9-1761,1761,9,"Kaposi's sarcoma, soft tissue"
9-1922,1922,9,Malignant neoplasm of spinal cord
9-29621,29621,9,"Major depressive affective disorder, single episode, mild"
9-37132,37132,9,Folds in descemet's membrane
9-37742,37742,9,Hemorrhage in optic nerve sheaths
9-37914,37914,9,"Anterior staphyloma, localized"
9-52572,52572,9,Post-osseointegration biological failure of dental implant
9-57440,57440,9,"Calculus of bile duct with other cholecystitis, without mention of obstruction"
9-5889,5889,9,Unspecified disorder resulting from impaired renal function
9-64753,64753,9,"Rubella in the mother, antepartum condition or complication"
9-66421,66421,9,"Third-degree perineal laceration, delivered, with or without mention of antepartum condition"
9-67634,67634,9,"Other and unspecified disorder of breast associated with childbirth, postpartum condition or complication"
9-7084,7084,9,Vibratory urticaria
9-7732,7732,9,Hemolytic disease of fetus or newborn due to other and unspecified isoimmunization
9-85194,85194,9,"Other and unspecified cerebral laceration and contusion, with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
9-90001,90001,9,Injury to common carotid artery
9-E9808,E9808,9,"Poisoning by arsenic and its compounds, undetermined whether accidentally or purposely inflicted"
9-01881,01881,9,"Other specified miliary tuberculosis, bacteriological or histological examination not done"
9-0220,0220,9,Cutaneous anthrax
9-1648,1648,9,Malignant neoplasm of other parts of mediastinum
9-27785,27785,9,Disorders of fatty acid oxidation
9-3003,3003,9,Obsessive-compulsive disorders
9-3313,3313,9,Communicating hydrocephalus
9-37842,37842,9,Exophoria
9-6246,6246,9,Polyp of labia and vulva
9-63310,63310,9,Tubal pregnancy without intrauterine pregnancy
9-67482,67482,9,"Other complications of puerperium, delivered, with mention of postpartum complication"
9-73393,73393,9,Stress fracture of tibia or fibula
9-75989,75989,9,Other specified congenital anomalies
9-78704,78704,9,Bilious emesis
9-80701,80701,9,Closed fracture of one rib
9-81380,81380,9,Closed fracture of unspecified part of forearm
9-E8374,E8374,9,"Explosion, fire, or burning in watercraft injuring water skier"
9-E8844,E8844,9,Accidental fall from bed
9-E9931,E9931,9,Injury due to war operations by guided missile
9-V7647,V7647,9,Special screening for malignant neoplasms of vagina
9-3202,3202,9,Streptococcal meningitis
9-40591,40591,9,Unspecified renovascular hypertension
9-4421,4421,9,Aneurysm of renal artery
9-5791,5791,9,Tropical sprue
9-65670,65670,9,"Other placental conditions, affecting management of mother, unspecified as to episode of care or not applicable"
9-71652,71652,9,"Unspecified polyarthropathy or polyarthritis, upper arm"
9-75321,75321,9,Congenital obstruction of ureteropelvic junction
9-8710,8710,9,Ocular laceration without prolapse of intraocular tissue
9-V1505,V1505,9,Allergy to other foods
9-V829,V829,9,Screening for unspecified condition
9-V9119,V9119,9,"Triplet gestation, unable to determine number of placenta and number of amniotic sacs"
9-0231,0231,9,Brucella abortus
9-1025,1025,9,Gangosa
9-1279,1279,9,"Intestinal helminthiasis, unspecified"
9-17380,17380,9,Unspecified malignant neoplasm of other specified sites of skin
9-20241,20241,9,"Leukemic reticuloendotheliosis, lymph nodes of head, face, and neck"
9-31089,31089,9,Other specified nonpsychotic mental disorders following organic brain damage
9-32371,32371,9,Toxic encephalitis and encephalomyelitis
9-4272,4272,9,"Paroxysmal tachycardia, unspecified"
9-47875,47875,9,Laryngeal spasm
9-48242,48242,9,Methicillin resistant pneumonia due to Staphylococcus aureus
9-67913,67913,9,"Fetal complications from in utero procedure, antepartum condition or complication"
9-7051,7051,9,Prickly heat
9-7955,7955,9,Nonspecific reaction to tuberculin skin test without active tuberculosis
9-99696,99696,9,"Complication of reattached lower extremity, other and unspecified"
9-9974,9974,9,"Digestive system complications, not elsewhere classified"
9-1965,1965,9,Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb
9-28982,28982,9,Secondary hypercoagulable state
9-30562,30562,9,"Cocaine abuse, episodic"
9-36011,36011,9,Sympathetic uveitis
9-36284,36284,9,Retinal ischemia
9-37040,37040,9,"Keratoconjunctivitis, unspecified"
9-37905,37905,9,Scleritis with corneal involvement
9-38051,38051,9,Acquired stenosis of external ear canal secondary to trauma
9-38320,38320,9,"Petrositis, unspecified"
9-38654,38654,9,"Hypoactive labyrinth, bilateral"
9-66411,66411,9,"Second-degree perineal laceration, delivered, with or without mention of antepartum condition"
9-6861,6861,9,Pyogenic granuloma of skin and subcutaneous tissue
9-71632,71632,9,"Climacteric arthritis, upper arm"
9-71838,71838,9,"Recurrent dislocation of joint, other specified sites"
9-73342,73342,9,Aseptic necrosis of head and neck of femur
9-74251,74251,9,Diastematomyelia
9-7707,7707,9,Chronic respiratory disease arising in the perinatal period
9-7910,7910,9,Proteinuria
9-9626,9626,9,Poisoning by parathyroid and parathyroid derivatives
9-9642,9642,9,Poisoning by anticoagulants
9-9874,9874,9,Toxic effect of freon
9-E8011,E8011,9,Railway accident involving collision with other object and injuring passenger on railway
9-E8652,E8652,9,Accidental poisoning from other fish
9-E896,E896,9,Accident caused by controlled fire in other and unspecified building or structure
9-V1300,V1300,9,Personal history of unspecified urinary disorder
9-V1504,V1504,9,Allergy to seafood
9-V1509,V1509,9,"Other allergy, other than to medicinal agents"
9-V4984,V4984,9,Bed confinement status
9-01194,01194,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
9-20028,20028,9,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
9-36903,36903,9,Better eye: near-total vision impairment; lesser eye: total vision impairment
9-4431,4431,9,Thromboangiitis obliterans [Buerger's disease]
9-66301,66301,9,"Prolapse of cord complicating labor and delivery, delivered, with or without mention of antepartum condition"
9-66331,66331,9,"Other and unspecified cord entanglement, without mention of compression, complicating labor and delivery, delivered, with or without mention of antepartum condition"
9-71618,71618,9,"Traumatic arthropathy, other specified sites"
9-7353,7353,9,Hallux malleus
9-80484,80484,9,"Open fractures involving skull or face with other bones, with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level"
9-90182,90182,9,Injury to internal mammary artery or vein
9-92421,92421,9,Contusion of ankle
9-9708,9708,9,Poisoning by other specified central nervous system stimulants
9-V147,V147,9,Personal history of allergy to serum or vaccine
9-V9101,V9101,9,"Twin gestation, monochorionic/monoamniotic (one placenta, one amniotic sac)"
9-11500,11500,9,"Infection by Histoplasma capsulatum, without mention of manifestation"
9-20147,20147,9,"Hodgkin's disease, lymphocytic-histiocytic predominance, spleen"
9-25952,25952,9,Partial androgen insensitivity
9-30014,30014,9,Dissociative identity disorder
9-30412,30412,9,"Sedative, hypnotic or anxiolytic dependence, episodic"
9-30441,30441,9,"Amphetamine and other psychostimulant dependence, continuous"
9-37456,37456,9,Other degenerative disorders of skin affecting eyelid
9-38810,38810,9,"Noise effects on inner ear, unspecified"
9-42299,42299,9,Other acute myocarditis
9-71665,71665,9,"Unspecified monoarthritis, pelvic region and thigh"
9-7325,7325,9,Juvenile osteochondrosis of foot
9-76078,76078,9,Antimetabolic agents affecting fetus or newborn via placenta or breast milk
9-7633,7633,9,Delivery by vacuum extractor affecting fetus or newborn
9-7676,7676,9,Injury to brachial plexus due to birth trauma
9-7773,7773,9,Hematemesis and melena of newborn due to swallowed maternal blood
9-94155,94155,9,"Deep necrosis of underlying tissues [deep third degree] with loss of a body part, of nose (septum)"
9-9751,9751,9,Poisoning by smooth muscle relaxants
9-9877,9877,9,Toxic effect of hydrocyanic acid gas
9-E8341,E8341,9,"Other fall from one level to another in water transport injuring occupant of small boat, powered"
9-V255,V255,9,Insertion of implantable subdermal contraceptive
9-01163,01163,9,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
9-1256,1256,9,Other specified filariasis
9-29611,29611,9,"Manic affective disorder, recurrent episode, mild"
9-3131,3131,9,Misery and unhappiness disorder specific to childhood and adolescence
9-33902,33902,9,Chronic cluster headache
9-37906,37906,9,Brawny scleritis
9-47824,47824,9,Retropharyngeal abscess
9-5755,5755,9,Fistula of gallbladder
9-62921,62921,9,Female genital mutilation Type I status
9-64241,64241,9,"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition"
9-73673,73673,9,"Cavus deformity of foot, acquired"
9-81345,81345,9,Torus fracture of radius (alone)
9-82111,82111,9,Open fracture of shaft of femur
9-85111,85111,9,"Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness"
9-9068,9068,9,Late effect of burns of other specified sites
9-07422,07422,9,Coxsackie endocarditis
9-0987,0987,9,Gonococcal infection of anus and rectum
9-2233,2233,9,Benign neoplasm of bladder
9-2348,2348,9,Carcinoma in situ of other specified sites
9-27669,27669,9,Other fluid overload
9-3319,3319,9,"Cerebral degeneration, unspecified"
9-5641,5641,9,Irritable bowel syndrome
9-59011,59011,9,Acute pyelonephritis with lesion of renal medullary necrosis
9-64750,64750,9,"Rubella in the mother, unspecified as to episode of care or not applicable"
9-66812,66812,9,"Cardiac complications of anesthesia or other sedation in labor and delivery, delivered, with mention of postpartum complication"
9-67420,67420,9,"Disruption of perineal wound, unspecified as to episode of care or not applicable"
9-71655,71655,9,"Unspecified polyarthropathy or polyarthritis, pelvic region and thigh"
9-71658,71658,9,"Unspecified polyarthropathy or polyarthritis, other specified sites"
9-7935,7935,9,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs
9-81311,81311,9,Open fracture of olecranon process of ulna
9-94132,94132,9,"Full-thickness skin loss [third degree, not otherwise specified] of eye (with other parts of face, head, and neck)"
9-E8105,E8105,9,Motor vehicle traffic accident involving collision with train injuring rider of animal; occupant of animal-drawn vehicle
9-1123,1123,9,Candidiasis of skin and nails
9-20080,20080,9,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
9-2711,2711,9,Galactosemia
9-30470,30470,9,"Combinations of opioid type drug with any other drug dependence, unspecified"
9-37182,37182,9,Corneal disorder due to contact lens
9-38811,38811,9,Acoustic trauma (explosive) to ear
9-44620,44620,9,"Hypersensitivity angiitis, unspecified"
9-4590,4590,9,"Hemorrhage, unspecified"
9-47871,47871,9,Cellulitis and perichondritis of larynx
9-53510,53510,9,"Atrophic gastritis, without mention of hemorrhage"
9-58881,58881,9,Secondary hyperparathyroidism (of renal origin)
9-65910,65910,9,"Failed medical or unspecified induction of labor, unspecified as to episode of care or not applicable"
9-71897,71897,9,"Unspecified derangement of joint, ankle and foot"
9-7201,7201,9,Spinal enthesopathy
9-85103,85103,9,"Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness"
9-92411,92411,9,Contusion of knee
9-E8061,E8061,9,Other specified railway accident injuring passenger on railway
9-V423,V423,9,Skin replaced by transplant
9-V4459,V4459,9,Other cystostomy
9-01353,01353,9,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy"
9-01895,01895,9,"Miliary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
9-20974,20974,9,Secondary neuroendocrine tumor of peritoneum
9-27909,27909,9,Other deficiency of humoral immunity
9-30189,30189,9,Other personality disorders
9-3070,3070,9,Adult onset fluency disorder
9-3077,3077,9,Encopresis
9-36283,36283,9,Retinal edema
9-38871,38871,9,Otogenic pain
9-52330,52330,9,"Aggressive periodontitis, unspecified"
